call_id,gold_actual,A_N2_pred,is_mismatch
J19_S030239,환불요청,주문취소,True
J19_S020362,환불요청,서비스이용,True
J18_S001123,환불요청,주문취소,True
J17_S002887,구매진행,서비스이용,True
J18_S020697,교환반품,배송확인,True
J19_S011053,환불요청,배송확인,True
J19_S015809,환불요청,구매진행,True
J19_S019668,서비스이용,배송확인,True
J19_S032643,교환반품,구매진행,True
J18_S010188,불만제기,배송확인,True
J19_S032216,환불요청,서비스이용,True
J18_S008362,환불요청,서비스이용,True
J18_S009193,환불요청,주문취소,True
J19_S029349,환불요청,서비스이용,True
J19_S001018,환불요청,구매진행,True
J19_S035716,환불요청,불만제기,True
J19_S018052,주문취소,환불요청,True
J16_S006082,불만제기,배송확인,True
J18_S006421,교환반품,환불요청,True
J19_S004736,환불요청,구매진행,True
J19_S008109,교환반품,환불요청,True
J18_S005719,환불요청,서비스이용,True
J18_S018877,환불요청,배송확인,True
J19_S013601,환불요청,서비스이용,True
J18_S018223,교환반품,배송확인,True
J19_S029117,환불요청,주문취소,True
J19_S036845,환불요청,배송확인,True
J19_S018284,구매진행,배송확인,True
J18_S005544,교환반품,배송확인,True
J18_S010014,배송확인,구매진행,True
J19_S024634,환불요청,배송확인,True
J19_S028833,환불요청,주문취소,True
J19_S030063,환불요청,주문취소,True
J19_S007077,환불요청,서비스이용,True
J19_S028711,환불요청,주문취소,True
J17_S006443,서비스이용,구매진행,True
J18_S005860,환불요청,불만제기,True
J19_S031320,환불요청,교환반품,True
J18_S006546,불만제기,환불요청,True
J18_S022054,환불요청,주문취소,True
J18_S013446,배송확인,교환반품,True
J19_S025839,서비스이용,구매진행,True
J17_S003394,환불요청,배송확인,True
J17_S003947,서비스이용,불만제기,True
J17_S003563,서비스이용,불만제기,True
J19_S028716,환불요청,주문취소,True
J17_S004773,교환반품,서비스이용,True
J19_S001731,환불요청,구매진행,True
J18_S017908,환불요청,구매진행,True
J19_S028708,구매진행,환불요청,True
J19_S032603,환불요청,구매진행,True
J18_S018435,불만제기,환불요청,True
J18_S000145,서비스이용,환불요청,True
J19_S035320,환불요청,배송확인,True
J16_S003841,서비스이용,환불요청,True
J19_S022428,환불요청,서비스이용,True
J18_S013954,배송확인,서비스이용,True
J19_S017286,환불요청,구매진행,True
J19_S034047,배송확인,환불요청,True
J19_S011742,서비스이용,구매진행,True
J19_S000716,환불요청,구매진행,True
J17_S006489,교환반품,배송확인,True
J17_S002935,서비스이용,불만제기,True
J18_S006816,배송확인,구매진행,True
J19_S007088,환불요청,서비스이용,True
J16_S005415,서비스이용,배송확인,True
J19_S038287,배송확인,교환반품,True
J17_S002566,서비스이용,환불요청,True
J18_S010679,배송확인,환불요청,True
J19_S017737,환불요청,서비스이용,True
J19_S020351,주문취소,환불요청,True
J19_S025176,환불요청,구매진행,True
J19_S012400,구매진행,배송확인,True
J19_S007117,환불요청,주문취소,True
J18_S011487,교환반품,배송확인,True
J18_S005510,배송확인,환불요청,True
J18_S009410,배송확인,서비스이용,True
J18_S001213,불만제기,배송확인,True
J18_S002788,교환반품,배송확인,True
J18_S014894,환불요청,주문취소,True
J19_S006339,주문취소,환불요청,True
J19_S031615,서비스이용,배송확인,True
J18_S006136,배송확인,구매진행,True
J19_S036373,구매진행,배송확인,True
J19_S030040,환불요청,구매진행,True
J19_S013971,환불요청,서비스이용,True
J19_S037404,구매진행,서비스이용,True
J19_S002438,환불요청,서비스이용,True
J19_S022644,구매진행,서비스이용,True
J18_S006139,환불요청,서비스이용,True
J18_S011002,환불요청,서비스이용,True
J19_S022454,서비스이용,구매진행,True
J19_S004941,환불요청,서비스이용,True
J18_S007425,교환반품,서비스이용,True
J19_S002397,배송확인,구매진행,True
J19_S028899,주문취소,구매진행,True
J19_S025590,환불요청,주문취소,True
J19_S017621,환불요청,서비스이용,True
J18_S005573,환불요청,교환반품,True
J19_S010350,구매진행,교환반품,True
J19_S018311,환불요청,주문취소,True
J18_S003560,교환반품,배송확인,True
J19_S002329,환불요청,주문취소,True
J19_S015070,환불요청,주문취소,True
J19_S033074,환불요청,구매진행,True
